WardName,textBox10,textBox6,textBox9,textBox17,textBox1,textBox3
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
CARBOPLATINE 600mg/60ml (ACCORD),Département,Number,10,Totals:,Composants utilisés pour les preparation,10
DOCETAXEL 160mg/8ml (ACCORD),Département,Number,3,Totals:,Composants utilisés pour les preparation,3
DOCETAXEL 160mg/8ml (ACCORD),Département,Number,3,Totals:,Composants utilisés pour les preparation,3
DOCETAXEL 160mg/8ml (ACCORD),Département,Number,3,Totals:,Composants utilisés pour les preparation,3
DOXORUBICINE 200mg/100ml (ARROW),Département,Number,1,Totals:,Composants utilisés pour les preparation,1
EAU PPI 100ml (BBRAUN),Département,Number,4,Totals:,Composants utilisés pour les preparation,4
EAU PPI 100ml (BBRAUN),Département,Number,4,Totals:,Composants utilisés pour les preparation,4
EAU PPI 100ml (BBRAUN),Département,Number,4,Totals:,Composants utilisés pour les preparation,4
EAU PPI 100ml (BBRAUN),Département,Number,4,Totals:,Composants utilisés pour les preparation,4
EPIRUBICINE 200mg/100ml (MEDAC),Département,Number,3,Totals:,Composants utilisés pour les preparation,3
EPIRUBICINE 200mg/100ml (MEDAC),Département,Number,3,Totals:,Composants utilisés pour les preparation,3
EPIRUBICINE 200mg/100ml (MEDAC),Département,Number,3,Totals:,Composants utilisés pour les preparation,3
ETOPOSIDE 1000mg/50ml (ACCORD),Département,Number,2,Totals:,Composants utilisés pour les preparation,2
ETOPOSIDE 1000mg/50ml (ACCORD),Département,Number,2,Totals:,Composants utilisés pour les preparation,2
GEMCITABINE 2000mg/50ml (ARROW),Département,Number,2,Totals:,Composants utilisés pour les preparation,2
GEMCITABINE 2000mg/50ml (ARROW),Département,Number,2,Totals:,Composants utilisés pour les preparation,2
Glucose 5% 100ml Freeflex POCHE,Département,Number,6,Totals:,1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,6
Glucose 5% 100ml Freeflex POCHE,Département,Number,6,Totals:,1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,6
Glucose 5% 100ml Freeflex POCHE,Département,Number,6,Totals:,1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,6
Glucose 5% 100ml Freeflex POCHE,Département,Number,6,Totals:,1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,6
Glucose 5% 100ml Freeflex POCHE,Département,Number,6,Totals:,1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,6
Glucose 5% 100ml Freeflex POCHE,Département,Number,6,Totals:,1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,6
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 250ml Freeflex POCHE,Département,Number,14,Totals:,1ER ETAGE HDJ,14
Glucose 5% 500ml Freeflex POCHE,Département,Number,4,Totals:,1ER ETAGE HDJ,4
Glucose 5% 500ml Freeflex POCHE,Département,Number,4,Totals:,1ER ETAGE HDJ,4
Glucose 5% 500ml Freeflex POCHE,Département,Number,4,Totals:,1ER ETAGE HDJ,4
Glucose 5% 500ml Freeflex POCHE,Département,Number,4,Totals:,1ER ETAGE HDJ,4
Glucose 5% 50ml Freeflex POCHE,Département,Number,2,Totals:,HC 5Z2,2
Glucose 5% 50ml Freeflex POCHE,Département,Number,2,Totals:,HC 5Z2,2
HOLOXAN 2000mg (BAXTER),Département,Number,11,Totals:,Composants utilisés pour les preparation,11
HOLOXAN 2000mg (BAXTER),Département,Number,11,Totals:,Composants utilisés pour les preparation,11
HOLOXAN 2000mg (BAXTER),Département,Number,11,Totals:,Composants utilisés pour les preparation,11
HOLOXAN 2000mg (BAXTER),Département,Number,11,Totals:,Composants utilisés pour les preparation,11
HOLOXAN 2000mg (BAXTER),Département,Number,11,Totals:,Composants utilisés pour les preparation,11
